row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
339,CA-2014-129924,7/12/2014,7/17/2014,"Standard Class",AC-10420,FUR-TA-10004575,698.35,3,0.20,-17.46
342,CA-2014-122336,4/13/2014,4/17/2014,"Second Class",JD-15895,OFF-BI-10003656,509.97,10,0.70,-407.98
354,CA-2016-129714,9/1/2016,9/3/2016,"First Class",AB-10060,OFF-BI-10004995,4355.17,4,0.20,1415.43
355,CA-2016-138520,4/8/2016,4/13/2016,"Standard Class",JL-15505,FUR-BO-10002268,388.70,6,0.20,-4.86
360,CA-2017-155698,3/8/2017,3/11/2017,"First Class",VB-21745,OFF-AP-10001124,647.84,8,0.00,168.44
363,CA-2017-144904,9/25/2017,10/1/2017,"Standard Class",KW-16435,FUR-CH-10000785,488.65,3,0.10,86.87
370,CA-2016-155516,10/21/2016,10/21/2016,"Same Day",MK-17905,FUR-BO-10002545,1043.92,4,0.00,271.42
374,US-2014-119137,7/23/2014,7/27/2014,"Standard Class",AG-10900,TEC-AC-10003911,1023.94,8,0.20,179.19
376,US-2014-119137,7/23/2014,7/27/2014,"Standard Class",AG-10900,TEC-AC-10002076,479.04,10,0.20,-29.94
378,US-2017-134481,8/27/2017,9/1/2017,"Standard Class",AR-10405,FUR-TA-10004915,1488.42,7,0.30,-297.68
385,US-2015-168935,11/27/2015,12/2/2015,"Standard Class",DO-13435,FUR-TA-10000617,375.46,3,0.45,-157.01
387,CA-2015-122756,12/3/2015,12/7/2015,"Standard Class",DK-13225,TEC-MA-10001681,482.34,4,0.70,-337.64
392,US-2014-135972,9/21/2014,9/23/2014,"Second Class",JG-15115,TEC-PH-10003012,246.38,2,0.20,27.72
393,US-2014-135972,9/21/2014,9/23/2014,"Second Class",JG-15115,TEC-CO-10002313,1799.97,3,0.00,701.99
400,CA-2016-108987,9/8/2016,9/10/2016,"Second Class",AG-10675,FUR-BO-10004834,2396.27,4,0.32,-317.15
407,CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,TEC-CO-10004115,1199.98,3,0.20,434.99
409,CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,FUR-TA-10002041,1004.02,7,0.20,-112.95
413,CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,FUR-BO-10001972,1336.83,13,0.15,31.45
416,CA-2017-142636,11/3/2017,11/7/2017,"Standard Class",KC-16675,FUR-CH-10001891,307.14,4,0.20,26.87
418,CA-2016-148796,4/14/2016,4/18/2016,"Standard Class",PB-19150,FUR-CH-10004886,383.80,5,0.20,38.38
425,CA-2017-155705,8/21/2017,8/23/2017,"Second Class",NF-18385,FUR-CH-10000015,866.40,4,0.00,225.26
427,CA-2017-149160,11/23/2017,11/26/2017,"Second Class",JM-15265,OFF-BI-10001543,287.92,8,0.00,138.20
431,US-2016-123750,4/15/2016,4/21/2016,"Standard Class",RB-19795,TEC-AC-10004659,408.74,7,0.20,76.64
432,US-2016-123750,4/15/2016,4/21/2016,"Standard Class",RB-19795,TEC-AC-10004659,291.96,5,0.20,54.74
434,CA-2016-127369,6/6/2016,6/7/2016,"First Class",DB-13060,OFF-ST-10003306,714.30,5,0.00,207.15
436,US-2014-150574,12/19/2014,12/25/2014,"Standard Class",MK-18160,TEC-AC-10002600,247.80,5,0.20,-18.59
437,CA-2016-147375,6/12/2016,6/14/2016,"Second Class",PO-19180,TEC-MA-10002937,1007.98,3,0.30,43.20
438,CA-2016-147375,6/12/2016,6/14/2016,"Second Class",PO-19180,OFF-PA-10001970,313.49,7,0.20,113.64
445,CA-2016-115756,9/5/2016,9/7/2016,"Second Class",PK-19075,FUR-CH-10002372,242.94,3,0.00,29.15
450,CA-2016-166674,4/1/2016,4/3/2016,"Second Class",RB-19360,OFF-AR-10001953,263.88,6,0.00,71.25
454,CA-2017-147277,10/20/2017,10/24/2017,"Standard Class",EB-13705,FUR-TA-10001539,284.36,2,0.40,-75.83
455,CA-2017-147277,10/20/2017,10/24/2017,"Standard Class",EB-13705,OFF-ST-10000142,665.41,2,0.20,66.54
458,US-2016-157945,9/26/2016,10/1/2016,"Standard Class",NF-18385,FUR-CH-10002331,747.56,3,0.30,-96.11
461,CA-2015-109638,12/15/2015,12/22/2015,"Standard Class",JH-15985,TEC-AC-10004571,899.91,9,0.00,377.96
464,CA-2016-109869,4/22/2016,4/29/2016,"Standard Class",TN-21040,FUR-TA-10001889,1272.63,6,0.50,-814.48
468,US-2015-101399,1/17/2015,1/24/2015,"Standard Class",JS-15940,FUR-FU-10002918,254.74,7,0.60,-312.06
472,CA-2014-144666,11/9/2014,11/11/2014,"Second Class",JP-15520,OFF-ST-10002743,340.92,3,0.00,3.41
474,CA-2014-144666,11/9/2014,11/11/2014,"Second Class",JP-15520,TEC-PH-10002680,703.97,4,0.20,88.00
481,CA-2016-100790,6/26/2016,7/2/2016,"Standard Class",JG-15805,OFF-ST-10000689,704.25,5,0.00,84.51
486,CA-2017-140963,6/10/2017,6/13/2017,"First Class",MT-18070,FUR-BO-10001337,514.17,5,0.15,-30.25
487,CA-2017-140963,6/10/2017,6/13/2017,"First Class",MT-18070,TEC-PH-10001924,279.96,5,0.20,17.50
488,CA-2014-154627,10/29/2014,10/31/2014,"First Class",SA-20830,TEC-PH-10001363,2735.95,6,0.20,341.99
492,CA-2014-113362,9/14/2014,9/19/2014,"Standard Class",AJ-10960,OFF-ST-10001809,449.15,5,0.00,8.98
498,CA-2016-126158,7/25/2016,7/31/2016,"Standard Class",SC-20095,FUR-FU-10004864,255.76,4,0.00,81.84
499,CA-2016-126158,7/25/2016,7/31/2016,"Standard Class",SC-20095,FUR-CH-10002602,241.57,2,0.20,18.12
503,US-2016-105578,5/30/2016,6/4/2016,"Standard Class",MY-17380,FUR-CH-10001215,801.57,2,0.20,50.10
510,CA-2015-145352,3/16/2015,3/22/2015,"Standard Class",CM-12385,OFF-BI-10003527,6354.95,5,0.00,3177.48
516,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,TEC-CO-10003236,2999.95,5,0.00,1379.98
519,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,OFF-ST-10004459,1126.02,3,0.00,56.30
527,CA-2017-113558,10/21/2017,10/26/2017,"Standard Class",PH-18790,FUR-CH-10003379,683.95,3,0.20,42.75
530,US-2015-138303,9/3/2015,9/7/2015,"Standard Class",MG-18145,OFF-SU-10002881,666.25,1,0.20,-149.91
534,CA-2016-168753,5/29/2016,6/1/2016,"Second Class",RL-19615,TEC-PH-10000984,979.95,5,0.00,274.39
540,CA-2015-134894,12/7/2015,12/11/2015,"Standard Class",DK-12985,FUR-CH-10002647,283.92,4,0.00,70.98
541,CA-2014-140795,2/1/2014,2/3/2014,"First Class",BD-11500,TEC-AC-10001432,468.90,6,0.00,206.32
542,CA-2016-136924,7/14/2016,7/17/2016,"First Class",ES-14080,TEC-PH-10002262,380.86,8,0.20,38.09
543,US-2015-120161,12/18/2015,12/23/2015,"Standard Class",LM-17065,OFF-ST-10001809,646.78,9,0.20,-145.52
549,CA-2015-113173,11/15/2015,11/17/2015,"Second Class",DK-13225,OFF-ST-10000604,250.27,9,0.20,15.64
552,CA-2016-136406,4/15/2016,4/17/2016,"Second Class",BD-11320,FUR-CH-10002024,1121.57,2,0.20,0.00
555,CA-2017-100650,6/29/2017,7/3/2017,"Second Class",DK-13225,OFF-ST-10001780,1295.78,2,0.00,310.99
558,CA-2016-113243,6/10/2016,6/15/2016,"Standard Class",OT-18730,FUR-TA-10004256,1335.68,4,0.20,-217.05
566,CA-2017-137099,12/7/2017,12/10/2017,"First Class",FP-14320,TEC-PH-10002496,374.38,3,0.20,46.80
570,CA-2017-156951,10/1/2017,10/8/2017,"Standard Class",EB-13840,FUR-CH-10004997,451.15,3,0.20,0.00
582,CA-2017-145233,12/1/2017,12/5/2017,"Standard Class",DV-13465,TEC-PH-10004977,470.38,3,0.20,52.92
586,CA-2017-145233,12/1/2017,12/5/2017,"Standard Class",DV-13465,TEC-PH-10001254,406.37,4,0.20,30.48
588,CA-2015-128139,7/3/2015,7/9/2015,"Standard Class",BD-11725,OFF-LA-10003930,294.93,3,0.00,144.52
596,CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,TEC-CO-10004115,1199.98,3,0.20,434.99
597,CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,TEC-PH-10002398,445.96,5,0.20,55.75
598,CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,FUR-FU-10001979,327.76,8,0.00,91.77
601,US-2016-100720,7/16/2016,7/21/2016,"Standard Class",CK-12205,TEC-PH-10003963,494.38,4,0.40,-115.35
611,CA-2016-161816,4/28/2016,5/1/2016,"First Class",NB-18655,TEC-PH-10003012,369.58,3,0.20,41.58
614,CA-2016-121223,9/11/2016,9/13/2016,"Second Class",GD-14590,TEC-PH-10004667,728.95,9,0.40,-157.94
623,CA-2015-138009,11/29/2015,12/3/2015,"Standard Class",SF-20965,FUR-CH-10004853,301.96,2,0.00,87.57
624,CA-2015-138009,11/29/2015,12/3/2015,"Standard Class",SF-20965,OFF-AP-10000179,555.21,5,0.10,178.90
625,CA-2015-138009,11/29/2015,12/3/2015,"Standard Class",SF-20965,OFF-ST-10001272,523.48,4,0.00,130.87
631,US-2016-135720,12/11/2016,12/13/2016,"Second Class",FM-14380,OFF-ST-10001963,243.38,3,0.20,-51.72
633,US-2016-135720,12/11/2016,12/13/2016,"Second Class",FM-14380,TEC-PH-10002103,300.77,4,0.20,30.08
635,CA-2017-144694,9/24/2017,9/26/2017,"Second Class",BD-11605,OFF-LA-10003930,235.94,3,0.20,85.53
636,CA-2015-168004,10/4/2015,10/9/2015,"Second Class",DJ-13420,FUR-CH-10001482,392.94,3,0.00,43.22
639,CA-2016-115917,5/20/2016,5/25/2016,"Standard Class",RB-19465,FUR-FU-10000576,1049.20,5,0.00,272.79
642,CA-2017-167913,7/30/2017,8/3/2017,"Second Class",JL-15835,OFF-ST-10000585,330.40,2,0.00,85.90
650,CA-2016-160745,12/11/2016,12/16/2016,"Second Class",AR-10825,TEC-PH-10003273,302.38,3,0.20,22.68
651,CA-2016-160745,12/11/2016,12/16/2016,"Second Class",AR-10825,TEC-AC-10001142,316.00,4,0.00,31.60
652,CA-2016-132661,10/23/2016,10/29/2016,"Standard Class",SR-20740,OFF-PA-10000482,379.40,10,0.00,178.32
658,US-2016-156097,9/19/2016,9/19/2016,"Same Day",EH-14125,FUR-CH-10001215,701.37,2,0.30,-50.10
660,CA-2015-146563,8/24/2015,8/28/2015,"Standard Class",CB-12025,OFF-ST-10001490,999.43,7,0.20,124.93
661,CA-2015-146563,8/24/2015,8/28/2015,"Standard Class",CB-12025,OFF-ST-10001511,724.08,14,0.20,-135.77
662,CA-2015-146563,8/24/2015,8/28/2015,"Standard Class",CB-12025,FUR-TA-10001768,918.79,5,0.30,-118.13
664,CA-2016-123666,3/26/2016,3/30/2016,"Standard Class",SP-20545,OFF-ST-10001522,459.95,5,0.00,18.40
668,CA-2017-132682,6/8/2017,6/10/2017,"Second Class",TH-21235,TEC-PH-10004042,381.58,3,0.20,28.62
684,US-2017-168116,11/4/2017,11/4/2017,"Same Day",GT-14635,TEC-MA-10004125,7999.98,4,0.50,-3839.99
686,CA-2014-157784,7/5/2014,7/8/2014,"First Class",MC-17845,TEC-AC-10003911,479.97,3,0.00,163.19
691,US-2014-117135,6/21/2014,6/23/2014,"Second Class",NP-18325,TEC-PH-10002033,284.82,1,0.00,74.05
704,CA-2015-142027,4/9/2015,4/14/2015,"Standard Class",JK-15370,FUR-TA-10002774,369.91,3,0.20,-13.87
709,CA-2014-112158,12/2/2014,12/4/2014,"First Class",DP-13165,FUR-BO-10003272,883.92,5,0.20,-110.49
713,US-2017-100048,5/19/2017,5/24/2017,"Standard Class",RS-19765,OFF-AP-10001154,281.34,6,0.00,109.72
714,US-2017-100048,5/19/2017,5/24/2017,"Standard Class",RS-19765,TEC-PH-10003012,307.98,2,0.00,89.31
715,US-2017-100048,5/19/2017,5/24/2017,"Standard Class",RS-19765,TEC-AC-10001606,299.97,3,0.00,113.99
722,CA-2016-142335,12/15/2016,12/19/2016,"Standard Class",MP-17965,FUR-TA-10000198,1652.94,3,0.00,231.41
723,CA-2016-142335,12/15/2016,12/19/2016,"Standard Class",MP-17965,OFF-ST-10000036,296.37,3,0.00,80.02
729,US-2016-150861,12/3/2016,12/6/2016,"First Class",EG-13900,FUR-TA-10002228,400.03,2,0.40,-153.35
731,US-2016-150861,12/3/2016,12/6/2016,"First Class",EG-13900,FUR-CH-10002965,542.65,3,0.10,102.50
733,CA-2017-131954,1/21/2017,1/25/2017,"Standard Class",DS-13030,OFF-ST-10000736,242.94,3,0.00,9.72
741,CA-2014-112326,1/4/2014,1/8/2014,"Standard Class",PO-19195,OFF-ST-10002743,272.74,3,0.20,-64.77
747,CA-2014-124429,5/27/2014,5/27/2014,"Same Day",MH-17785,FUR-TA-10002607,567.12,10,0.20,-28.36
748,CA-2014-124429,5/27/2014,5/27/2014,"Same Day",MH-17785,OFF-ST-10001809,359.32,4,0.00,7.19
754,CA-2016-110499,4/7/2016,4/9/2016,"First Class",YC-21895,TEC-CO-10002095,1199.98,3,0.20,374.99
756,CA-2016-140928,9/18/2016,9/22/2016,"Standard Class",NB-18655,FUR-TA-10001095,383.44,4,0.45,-167.32
766,CA-2014-162775,1/13/2014,1/15/2014,"Second Class",CS-12250,TEC-AC-10003174,646.74,6,0.00,258.70
768,CA-2014-162775,1/13/2014,1/15/2014,"Second Class",CS-12250,OFF-ST-10000025,572.58,6,0.00,34.35
769,CA-2014-106810,5/14/2014,5/20/2014,"Standard Class",AJ-10795,FUR-FU-10004306,310.88,2,0.20,23.32
770,CA-2016-157245,5/19/2016,5/24/2016,"Standard Class",LE-16810,FUR-CH-10003746,641.96,2,0.00,179.75
778,CA-2015-144267,8/21/2015,8/23/2015,"First Class",NZ-18565,FUR-CH-10002335,544.01,3,0.20,40.80
788,CA-2015-154620,12/12/2015,12/16/2015,"Standard Class",LT-17110,FUR-CH-10004675,348.93,2,0.20,34.89
792,CA-2015-115938,6/26/2015,6/30/2015,"Standard Class",SA-20830,FUR-CH-10003199,332.94,3,0.00,79.91
793,CA-2016-105256,5/20/2016,5/20/2016,"Same Day",JK-15730,TEC-PH-10001530,1363.96,5,0.20,85.25
800,CA-2015-101910,11/27/2015,12/3/2015,"Standard Class",CD-11920,FUR-CH-10002647,283.92,5,0.20,17.75
803,CA-2016-136133,8/18/2016,8/23/2016,"Second Class",HW-14935,OFF-AP-10000576,355.32,9,0.00,99.49
807,CA-2014-134313,11/1/2014,11/7/2014,"Standard Class",RA-19915,TEC-PH-10001795,1983.97,4,0.20,248.00
811,CA-2014-151995,10/13/2014,10/15/2014,"First Class",ZC-21910,FUR-TA-10002903,1298.55,5,0.00,311.65
815,CA-2017-143686,5/14/2017,5/14/2017,"Same Day",PJ-19015,TEC-AC-10001838,1399.93,7,0.00,601.97
820,CA-2014-140858,6/28/2014,7/2/2014,"Standard Class",CA-12775,FUR-CH-10001394,1228.47,5,0.30,0.00
822,CA-2014-140858,6/28/2014,7/2/2014,"Standard Class",CA-12775,OFF-PA-10003395,335.52,4,0.20,117.43
823,CA-2017-101434,6/20/2017,6/27/2017,"Standard Class",TR-21325,TEC-AC-10002402,239.97,3,0.00,71.99
830,CA-2017-129462,6/16/2017,6/21/2017,"Second Class",JE-15745,FUR-CH-10000665,301.96,2,0.00,90.59
836,CA-2016-165316,7/23/2016,7/27/2016,"Standard Class",JB-15400,TEC-MA-10004002,265.48,1,0.50,-111.50
848,CA-2015-114300,10/13/2015,10/17/2015,"Standard Class",AF-10885,FUR-CH-10001891,287.94,3,0.00,77.74
855,CA-2016-123274,2/19/2016,2/24/2016,"Standard Class",GT-14710,OFF-ST-10000736,242.94,3,0.00,9.72
870,CA-2016-158099,9/3/2016,9/5/2016,"First Class",PK-18910,OFF-BI-10000545,1141.47,5,0.70,-760.98
871,CA-2016-158099,9/3/2016,9/5/2016,"First Class",PK-18910,TEC-PH-10002496,280.78,3,0.40,-46.80
876,CA-2016-116736,1/17/2016,1/21/2016,"Standard Class",CC-12430,FUR-FU-10004017,322.59,3,0.00,64.52
878,CA-2016-116736,1/17/2016,1/21/2016,"Standard Class",CC-12430,TEC-AC-10002049,371.97,3,0.00,66.95
881,CA-2017-111689,11/30/2017,12/2/2017,"Second Class",HP-14815,FUR-CH-10004287,1242.90,5,0.10,262.39
894,CA-2017-133256,6/26/2017,6/27/2017,"First Class",TH-21550,TEC-PH-10002660,543.92,8,0.00,135.98
903,CA-2017-132353,9/15/2017,9/17/2017,"First Class",DB-13060,TEC-PH-10004536,323.98,3,0.20,20.25
907,CA-2017-143259,12/30/2017,1/3/2018,"Standard Class",PO-18865,FUR-BO-10003441,323.14,4,0.20,12.12
910,CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,TEC-PH-10001494,1199.80,4,0.00,323.95
911,CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,TEC-AC-10004666,1928.78,7,0.00,829.38
912,CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,OFF-ST-10003816,352.38,2,0.00,81.05
917,US-2014-141215,6/15/2014,6/21/2014,"Standard Class",KL-16555,FUR-CH-10003379,797.94,4,0.30,-57.00
924,CA-2015-111164,4/11/2015,4/15/2015,"Standard Class",SE-20110,OFF-AP-10004487,406.60,5,0.00,113.85
